@relation traffic.analyse

@attribute linkNum {manyLN, fewLN, noneLN}
@attribute upDownTrafficPro {highUDTP, lowUDTP, maxUDTP}
@attribute visitFre {highVF, lowVF}
@attribute trafficTotal {manyTT, fewTT}
@attribute trafficType {safe, danger}

@data
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,lowVF,fewTT,safe
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,fewTT,safe
manyLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,fewTT,safe
fewLN,highUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,maxUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,highVF,manyTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
fewLN,highUDTP,lowVF,manyTT,danger
manyLN,highUDTP,highVF,manyTT,safe
fewLN,highUDTP,lowVF,fewTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
manyLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,highVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
manyLN,highUDTP,highVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,highVF,manyTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,lowUDTP,highVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,highVF,manyTT,safe
fewLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,fewTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,highUDTP,lowVF,manyTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
manyLN,lowUDTP,lowVF,manyTT,safe
noneLN,maxUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
noneLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,fewTT,safe
fewLN,maxUDTP,lowVF,fewTT,danger
noneLN,highUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,maxUDTP,lowVF,fewTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
fewLN,maxUDTP,lowVF,fewTT,danger
noneLN,highUDTP,lowVF,fewTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
manyLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,manyTT,danger
manyLN,highUDTP,lowVF,manyTT,safe
fewLN,lowUDTP,lowVF,manyTT,danger
fewLN,highUDTP,lowVF,fewTT,danger
